season,competition,event,instance_of_event_in_competition,gender,round,race,Place,Start Pos.,Warn.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,lap,laptime,lap_start_position,lap_end_position,position_change
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,4,1,1,,,472.0,KNEGTSjinkie,7352,NED,"
						1:28.280 
					",Q,2,9.63,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,4,1,1,,,472.0,KNEGTSjinkie,7352,NED,"
						1:28.280 
					",Q,3,9.68,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,4,1,1,,,472.0,KNEGTSjinkie,7352,NED,"
						1:28.280 
					",Q,4,9.59,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,4,1,1,,,472.0,KNEGTSjinkie,7352,NED,"
						1:28.280 
					",Q,5,9.49,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,4,1,1,,,472.0,KNEGTSjinkie,7352,NED,"
						1:28.280 
					",Q,6,9.35,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,4,1,1,,,472.0,KNEGTSjinkie,7352,NED,"
						1:28.280 
					",Q,7,9.22,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,4,1,1,,,472.0,KNEGTSjinkie,7352,NED,"
						1:28.280 
					",Q,8,9.28,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,4,1,1,,,472.0,KNEGTSjinkie,7352,NED,"
						1:28.280 
					",Q,9,9.26,2.0,1.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,5,PEN,4,,,415.0,FrancoisHAMELIN,6167,CAN,"
						PEN
					",,1,12.36,4.0,1.0,3.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,5,PEN,4,,,415.0,FrancoisHAMELIN,6167,CAN,"
						PEN
					",,2,9.46,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,5,PEN,4,,,415.0,FrancoisHAMELIN,6167,CAN,"
						PEN
					",,3,9.36,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,5,PEN,4,,,415.0,FrancoisHAMELIN,6167,CAN,"
						PEN
					",,4,9.26,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,5,PEN,4,,,415.0,FrancoisHAMELIN,6167,CAN,"
						PEN
					",,5,9.13,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,5,PEN,4,,,415.0,FrancoisHAMELIN,6167,CAN,"
						PEN
					",,6,9.1,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,5,PEN,4,,,415.0,FrancoisHAMELIN,6167,CAN,"
						PEN
					",,7,9.05,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Heats,5,PEN,4,,,415.0,FrancoisHAMELIN,6167,CAN,"
						PEN
					",,8,9.07,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,3,1,5,,,415.0,FrancoisHAMELIN,6167,CAN,"
						1:32.654 
					",Q,1,15.05,5.0,1.0,4.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,3,1,5,,,415.0,FrancoisHAMELIN,6167,CAN,"
						1:32.654 
					",Q,2,11.42,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,3,1,5,,,415.0,FrancoisHAMELIN,6167,CAN,"
						1:32.654 
					",Q,3,10.27,1.0,2.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,3,1,5,,,415.0,FrancoisHAMELIN,6167,CAN,"
						1:32.654 
					",Q,4,9.54,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,3,1,5,,,415.0,FrancoisHAMELIN,6167,CAN,"
						1:32.654 
					",Q,5,9.32,2.0,1.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,3,1,5,,,415.0,FrancoisHAMELIN,6167,CAN,"
						1:32.654 
					",Q,6,9.3,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,3,1,5,,,415.0,FrancoisHAMELIN,6167,CAN,"
						1:32.654 
					",Q,7,9.02,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,3,1,5,,,415.0,FrancoisHAMELIN,6167,CAN,"
						1:32.654 
					",Q,8,9.18,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,3,1,5,,,415.0,FrancoisHAMELIN,6167,CAN,"
						1:32.654 
					",Q,9,9.56,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,4,1,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:29.845 
					",Q,1,13.64,3.0,1.0,2.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,4,1,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:29.845 
					",Q,2,10.21,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,4,1,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:29.845 
					",Q,3,9.95,1.0,3.0,-2.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,4,1,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:29.845 
					",Q,4,9.82,3.0,3.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,4,1,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:29.845 
					",Q,5,9.65,3.0,2.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,4,1,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:29.845 
					",Q,6,9.36,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,4,1,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:29.845 
					",Q,7,9.19,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,4,1,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:29.845 
					",Q,8,8.96,2.0,1.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Preliminaries,4,1,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:29.845 
					",Q,9,9.07,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Semifinals,3,1,4,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:23.193 
					",QA,2,12.01,3.0,4.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Semifinals,3,1,4,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:23.193 
					",QA,3,10.94,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Semifinals,3,1,4,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:23.193 
					",QA,4,11.13,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Semifinals,3,1,4,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:23.193 
					",QA,5,10.45,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Semifinals,3,1,4,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:23.193 
					",QA,6,10.71,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Semifinals,3,1,4,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:23.193 
					",QA,7,10.71,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Semifinals,3,1,4,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:23.193 
					",QA,8,9.57,4.0,1.0,3.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Semifinals,3,1,4,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:23.193 
					",QA,9,9.71,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Semifinals,3,1,4,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:23.193 
					",QA,10,9.83,1.0,2.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Semifinals,3,1,4,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:23.193 
					",QA,11,9.68,2.0,1.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Semifinals,3,1,4,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:23.193 
					",QA,12,9.77,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Semifinals,3,1,4,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:23.193 
					",QA,13,9.81,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Semifinals,3,1,4,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:23.193 
					",QA,14,9.95,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Heats,5,1,6,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.000 
					",Q,2,12.16,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Heats,5,1,6,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.000 
					",Q,3,10.81,1.0,2.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Heats,5,1,6,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.000 
					",Q,4,11.65,2.0,3.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Heats,5,1,6,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.000 
					",Q,5,10.98,3.0,3.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Heats,5,1,6,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.000 
					",Q,6,10.51,3.0,4.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Heats,5,1,6,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.000 
					",Q,7,10.5,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Heats,5,1,6,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.000 
					",Q,8,10.31,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Heats,5,1,6,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.000 
					",Q,9,10.0,4.0,3.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Heats,5,1,6,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.000 
					",Q,10,10.15,3.0,3.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Heats,5,1,6,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.000 
					",Q,11,9.97,3.0,2.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Heats,5,1,6,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.000 
					",Q,12,9.81,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Heats,5,1,6,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.000 
					",Q,13,9.81,2.0,1.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,2,w,Heats,5,1,6,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.000 
					",Q,14,9.87,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Semifinals,2,4,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:30.203 
					",QB,1,13.56,3.0,2.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Semifinals,2,4,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:30.203 
					",QB,2,10.33,2.0,1.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Semifinals,2,4,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:30.203 
					",QB,3,10.21,1.0,2.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Semifinals,2,4,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:30.203 
					",QB,4,9.72,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Semifinals,2,4,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:30.203 
					",QB,5,9.52,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Semifinals,2,4,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:30.203 
					",QB,6,9.13,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Semifinals,2,4,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:30.203 
					",QB,7,9.05,2.0,4.0,-2.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Semifinals,2,4,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:30.203 
					",QB,8,9.14,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Semifinals,2,4,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:30.203 
					",QB,9,9.55,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Quarterfinals,1,2,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.011 
					",Q,1,12.91,3.0,3.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Quarterfinals,1,2,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.011 
					",Q,2,10.06,3.0,4.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Quarterfinals,1,2,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.011 
					",Q,3,9.59,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Quarterfinals,1,2,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.011 
					",Q,4,9.34,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Quarterfinals,1,2,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.011 
					",Q,5,9.15,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Quarterfinals,1,2,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.011 
					",Q,6,8.87,4.0,2.0,2.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Quarterfinals,1,2,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.011 
					",Q,7,8.73,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Quarterfinals,1,2,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.011 
					",Q,8,8.99,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,Quarterfinals,1,2,3,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.011 
					",Q,9,9.37,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,FinalB,1,2,5,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.939 
					",,1,13.41,5.0,4.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,FinalB,1,2,5,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.939 
					",,2,9.97,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,FinalB,1,2,5,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.939 
					",,3,9.51,4.0,3.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,FinalB,1,2,5,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.939 
					",,4,9.49,3.0,3.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,FinalB,1,2,5,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.939 
					",,5,9.4,3.0,2.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,FinalB,1,2,5,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.939 
					",,6,9.07,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,FinalB,1,2,5,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.939 
					",,7,9.02,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,FinalB,1,2,5,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.939 
					",,8,8.95,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1000m,-1,m,FinalB,1,2,5,,,472.0,KNEGTSjinkie,7352,NED,"
						1:27.939 
					",,9,9.12,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,1,1,1,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.421 
					",Q,2,11.76,1.0,3.0,-2.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,1,1,1,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.421 
					",Q,3,12.18,3.0,3.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,1,1,1,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.421 
					",Q,4,11.5,3.0,4.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,1,1,1,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.421 
					",Q,5,10.64,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,1,1,1,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.421 
					",Q,6,10.33,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,1,1,1,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.421 
					",Q,7,10.71,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,1,1,1,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.421 
					",Q,8,10.56,4.0,2.0,2.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,1,1,1,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.421 
					",Q,9,9.93,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,1,1,1,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.421 
					",Q,10,9.91,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,1,1,1,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.421 
					",Q,11,9.91,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,1,1,1,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.421 
					",Q,12,9.88,2.0,1.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,1,1,1,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.421 
					",Q,13,9.65,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,1,1,1,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:25.421 
					",Q,14,9.81,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,3,2,4,,,334.0,AriannaFONTANA,6227,ITA,"
						2:23.783 
					",Q,2,12.8,4.0,5.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,3,2,4,,,334.0,AriannaFONTANA,6227,ITA,"
						2:23.783 
					",Q,3,11.1,5.0,5.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,3,2,4,,,334.0,AriannaFONTANA,6227,ITA,"
						2:23.783 
					",Q,4,11.19,5.0,4.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,3,2,4,,,334.0,AriannaFONTANA,6227,ITA,"
						2:23.783 
					",Q,5,11.07,4.0,5.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,3,2,4,,,334.0,AriannaFONTANA,6227,ITA,"
						2:23.783 
					",Q,6,10.21,5.0,5.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,3,2,4,,,334.0,AriannaFONTANA,6227,ITA,"
						2:23.783 
					",Q,7,9.87,5.0,4.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,3,2,4,,,334.0,AriannaFONTANA,6227,ITA,"
						2:23.783 
					",Q,8,9.72,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,3,2,4,,,334.0,AriannaFONTANA,6227,ITA,"
						2:23.783 
					",Q,9,9.71,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,3,2,4,,,334.0,AriannaFONTANA,6227,ITA,"
						2:23.783 
					",Q,10,9.89,4.0,4.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,3,2,4,,,334.0,AriannaFONTANA,6227,ITA,"
						2:23.783 
					",Q,11,9.7,4.0,3.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,3,2,4,,,334.0,AriannaFONTANA,6227,ITA,"
						2:23.783 
					",Q,12,9.68,3.0,2.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,3,2,4,,,334.0,AriannaFONTANA,6227,ITA,"
						2:23.783 
					",Q,13,9.61,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Heats,3,2,4,,,334.0,AriannaFONTANA,6227,ITA,"
						2:23.783 
					",Q,14,9.88,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,1,2,2,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:26.261 
					",QA,2,13.29,2.0,1.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,1,2,2,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:26.261 
					",QA,3,11.82,1.0,2.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,1,2,2,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:26.261 
					",QA,4,10.78,2.0,3.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,1,2,2,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:26.261 
					",QA,5,10.97,3.0,5.0,-2.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,1,2,2,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:26.261 
					",QA,6,10.75,5.0,5.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,1,2,2,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:26.261 
					",QA,7,10.57,5.0,2.0,3.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,1,2,2,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:26.261 
					",QA,8,9.88,2.0,1.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,1,2,2,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:26.261 
					",QA,9,10.2,1.0,1.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,1,2,2,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:26.261 
					",QA,10,9.94,1.0,2.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,1,2,2,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:26.261 
					",QA,11,9.48,2.0,3.0,-1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,1,2,2,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:26.261 
					",QA,12,9.5,3.0,2.0,1.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,1,2,2,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:26.261 
					",QA,13,9.71,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,1,2,2,,,308.0,Marie-EveDROLET,6059,CAN,"
						2:26.261 
					",QA,14,9.76,2.0,2.0,-0.0
2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m,1,w,Semifinals,2,3,2,,,334.0,AriannaFONTANA,6227,ITA,"
						2:26.885 
					",QB,2,12.08,4.0,4.0,-0.0
